transaction_id,client_id,date_transaction,montant,devise,taux_change_eur,montant_eur,categorie,produit,agence,type_operation,statut,score_credit_client,segment_client,solde_avant,taux_interet,date_formatted,is_outlier_montant,is_outlier_score,is_anomaly,year,month,quarter,day_of_week,day_name,montant_eur_verifie,diff_eur,is_calc_error,categorie_risque,is_credit,amount_signed,solde_net,is_rejected,taux_rejet,taux_rejet_pct
TXN000559,CLI0060,2022-04-19 02:31:00,2050.42,EUR,1.0,2050.42,Depot especes,Compte Epargne,Marseille-Vieux-Port,Credit,Complete,645.0,Premium,16415.1,0.0,19-04-2022,False,False,False,2022,4,2,1,Tuesday,2050.42,0.0,False,Medium,True,2050.42,21599.14,False,0.05572755417956656,5.572755417956656
TXN001154,CLI0057,2024-06-20 20:51:00,-123.66,GBP,0.86,-143.79,Retrait DAB,Credit Consommation,Bordeaux-Meriadeck,Debit,Rejete,435.0,Risque,42890.81,0.0,20-06-2024,False,False,False,2024,6,2,3,Thursday,-143.7906976744186,0.0006976744186033557,False,High,False,123.66,6995.71,True,0.04589371980676329,4.5893719806763285
TXN000764,CLI0015,2024-08-28 05:03:00,-396.17,EUR,1.0,-396.17,Prelevement,PEA,Lyon-Part-Dieu,Debit,Complete,648.0,Standard,48489.38,0.0,28-08-2024,False,False,False,2024,8,3,2,Wednesday,-396.17,0.0,False,Medium,False,396.17,10808.05,False,0.04013377926421405,4.013377926421405
TXN001598,CLI0045,2024-01-07 08:16:00,225.2,EUR,1.0,225.2,Paiement CB,Credit Consommation,Bordeaux-Meriadeck,Credit,Complete,704.0,Standard,43962.51,0.0,07-01-2024,False,False,False,2024,1,1,6,Sunday,225.2,0.0,False,Low,True,225.2,24235.3,False,0.04589371980676329,4.5893719806763285
TXN001873,CLI0034,2024-08-11 19:52:00,935.32,EUR,1.0,935.32,Interets,Credit Immobilier,Bordeaux-Meriadeck,Credit,Complete,457.0,Risque,17312.83,0.0,11-08-2024,False,False,False,2024,8,3,6,Sunday,935.32,0.0,False,High,True,935.32,11456.22,False,0.04589371980676329,4.5893719806763285
TXN001864,CLI0061,2024-04-28 23:08:00,-256.73,CHF,0.97,-264.67,Remboursement credit,Compte Epargne,Marseille-Vieux-Port,Debit,Rejete,341.0,Risque,29211.28,0.0,28-04-2024,False,False,False,2024,4,2,6,Sunday,-264.6701030927835,0.00010309278349041051,False,High,False,256.73,24671.9,True,0.05572755417956656,5.572755417956656
TXN000931,CLI0118,2023-09-13 12:04:00,2752.67,EUR,1.0,2752.67,Depot especes,Compte Epargne,Lille-Grand-Place,Credit,Rejete,641.0,Standard,30331.51,0.0,13-09-2023,False,False,False,2023,9,3,2,Wednesday,2752.67,0.0,False,Medium,True,2752.67,27600.21,True,0.04205607476635514,4.205607476635514
TXN000620,CLI0005,2022-05-11 08:57:00,1962.49,EUR,1.0,1962.49,Remboursement credit,Livret A,Lille-Grand-Place,Credit,Complete,694.0,Standard,46954.33,0.0,11-05-2022,False,False,False,2022,5,2,2,Wednesday,1962.49,0.0,False,Medium,True,1962.49,13259.31,False,0.04205607476635514,4.205607476635514
TXN000581,CLI0064,2022-10-24 11:30:00,363.52,GBP,0.86,422.7,Paiement CB,Compte Courant,Lille-Grand-Place,Credit,Complete,800.0,Premium,45270.95,0.0,24-10-2022,False,False,False,2022,10,4,0,Monday,422.69767441860466,0.002325581395325571,False,Low,True,363.52,18179.59,False,0.04205607476635514,4.205607476635514
TXN000726,CLI0085,2022-04-21 21:15:00,6451.32,EUR,1.0,6451.32,Virement international,Credit Consommation,Toulouse-Capitole,Credit,Complete,390.0,Risque,19136.15,0.0,21-04-2022,True,False,True,2022,4,2,3,Thursday,6451.32,0.0,False,High,True,6451.32,30829.01,False,0.06806282722513089,6.806282722513089
